2020-12-22 17:54:13,022 [main] INFO  org.apache.curator.framework.imps.CuratorFrameworkImpl (CuratorFrameworkImpl.java:235) - Starting
2020-12-22 17:54:17,533 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:zookeeper.version=3.4.8--1, built on 02/06/2016 03:18 GMT
2020-12-22 17:54:17,533 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:host.name=yuanjian-gcxl.dev-wh.douyu.tv
2020-12-22 17:54:17,533 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.version=1.8.0_231
2020-12-22 17:54:17,534 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.vendor=Oracle Corporation
2020-12-22 17:54:17,534 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.home=E:\work_soft\jre1.8
2020-12-22 17:54:17,534 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.class.path=..\conf;;..\lib\commons-logging-1.2.jar;..\lib\curator-client-2.12.0.jar;..\lib\curator-framework-2.12.0.jar;..\lib\dubbo-2.6.0.jar;..\lib\dubbo-monitor-simple-2.0.0.jar;..\lib\fastjson-1.2.31.jar;..\lib\guava-16.0.1.jar;..\lib\javassist-3.20.0-GA.jar;..\lib\javax.servlet-api-3.1.0.jar;..\lib\jcommon-1.0.16.jar;..\lib\jetty-6.1.26.jar;..\lib\jetty-util-6.1.26.jar;..\lib\jfreechart-1.0.13.jar;..\lib\jline-0.9.94.jar;..\lib\log4j-1.2.16.jar;..\lib\netty-3.2.5.Final.jar;..\lib\netty-3.7.0.Final.jar;..\lib\slf4j-api-1.7.25.jar;..\lib\slf4j-log4j12-1.7.25.jar;..\lib\spring-aop-4.3.10.RELEASE.jar;..\lib\spring-beans-4.3.10.RELEASE.jar;..\lib\spring-context-4.3.10.RELEASE.jar;..\lib\spring-core-4.3.10.RELEASE.jar;..\lib\spring-expression-4.3.10.RELEASE.jar;..\lib\spring-web-4.3.10.RELEASE.jar;..\lib\zookeeper-3.4.8.jar
2020-12-22 17:54:17,534 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.library.path=C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files\Python38\Scripts\;C:\Program Files\Python38\;C:\ProgramData\DockerDesktop\version-bin;C:\Program Files\Docker\Docker\Resources\bin;E:\work_soft\SecureCRT\VanDyke Software\Clients\;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files\Git\cmd;E:\work_soft\jdk1.8\bin;C:\Program Files\TortoiseGit\bin;E:\work_soft\apache-maven-3.5.4\bin;E:\work_soft\gradle-5.6.2\bin;C:\Program Files\nodejs\;C:\WINDOWS\System32\OpenSSH\;E:\work_soft\android-sdk\android-sdk-windows\platform-tools;C:\Program Files\PuTTY\;C:\Program Files\erl10.3\bin;C:\Program Files\MySQL\MySQL Shell 8.0\bin\;C:\Users\liulang\AppData\Local\Microsoft\WindowsApps;C:\Users\liulang\AppData\Roaming\npm;;E:\common_soft\fiddler\location\Fiddler;.
2020-12-22 17:54:17,534 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.io.tmpdir=C:\Users\liulang\AppData\Local\Temp\
2020-12-22 17:54:17,534 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.compiler=<NA>
2020-12-22 17:54:17,534 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:os.name=Windows 10
2020-12-22 17:54:17,534 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:os.arch=amd64
2020-12-22 17:54:17,534 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:os.version=10.0
2020-12-22 17:54:17,534 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:user.name=liulang
2020-12-22 17:54:17,535 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:user.home=C:\Users\liulang
2020-12-22 17:54:17,539 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:user.dir=F:\myspace\dubbo-parent\dubbo-monitor\dubbo-monitor-simple-2.0.0\assembly.bin
2020-12-22 17:54:17,540 [main] INFO  org.apache.zookeeper.ZooKeeper (ZooKeeper.java:438) - Initiating client connection, connectString=127.0.0.1:2181 sessionTimeout=60000 watcher=org.apache.curator.ConnectionState@35dab4eb
2020-12-22 17:54:17,600 [main-SendThread(127.0.0.1:2181)] INFO  org.apache.zookeeper.ClientCnxn$SendThread (ClientCnxn.java:1032) - Opening socket connection to server 127.0.0.1/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
2020-12-22 17:54:17,602 [main-SendThread(127.0.0.1:2181)] INFO  org.apache.zookeeper.ClientCnxn$SendThread (ClientCnxn.java:876) - Socket connection established to 127.0.0.1/127.0.0.1:2181, initiating session
2020-12-22 17:54:17,621 [main-SendThread(127.0.0.1:2181)] INFO  org.apache.zookeeper.ClientCnxn$SendThread (ClientCnxn.java:1299) - Session establishment complete on server 127.0.0.1/127.0.0.1:2181, sessionid = 0x100000116ce0015, negotiated timeout = 40000
2020-12-22 17:54:17,629 [main-EventThread] INFO  org.apache.curator.framework.state.ConnectionStateManager (ConnectionStateManager.java:228) - State change: CONNECTED
